brand,jenis_mobil,tahun_kendaraan,warna,transmisi,kilometer,mesin_enginecc,bahan_bakar,dirakit,penumpang,pintu,harga
Hyundai,Sedan,2021,Abu-abu,Automatic,32500,0,Electric,Complete Built Up (CBU),5,5,450000000
Mercedes-Benz,Sedan,2023,Coklat,Automatic,800,0,Electric,Complete Built Up (CBU),5,4,1850000000
Hyundai,Wagon,2023,Lainnya,Automatic,2500,0,Electric,Complete Knock Down (CKD),5,5,650000000
Hyundai,Wagon,2023,Silver,Automatic,22500,0,Electric,Complete Knock Down (CKD),5,5,610000000
Wuling,Hatchback,2022,Putih,Automatic,2500,0,Electric,Complete Knock Down (CKD),4,3,223000000
Hyundai,Fastback,2021,Silver,Automatic,7500,0,Electric,Complete Built Up (CBU),5,5,415000000
Hyundai,Wagon,2023,Abu-abu,Automatic,2500,0,Electric,Complete Knock Down (CKD),5,5,625000000
Tesla,Wagon,2023,Silver,Automatic,2500,0,Electric,Complete Built Up (CBU),5,5,2117000000
Tesla,Wagon,2023,Biru,Automatic,2500,0,Electric,Complete Built Up (CBU),5,5,1900000000
Tesla,Hatchback,2020,Silver,Automatic,2500,0,Electric,Complete Built Up (CBU),5,5,1980000000
Wuling,Hatchback,2022,Biru,Automatic,22500,0,Electric,Complete Knock Down (CKD),4,3,188000000
Hyundai,Wagon,2021,Hitam,Automatic,22500,0,Electric,Complete Built Up (CBU),5,5,395000000
Tesla,Sedan,2019,Biru,Automatic,12500,0,Electric,Complete Built Up (CBU),5,4,680000000
Wuling,Hatchback,2022,Biru,Automatic,12500,0,Electric,Complete Knock Down (CKD),4,3,205000000
Hyundai,Wagon,2020,Putih,Automatic,37500,0,Electric,Complete Built Up (CBU),5,5,345000000
Wuling,Hatchback,2022,Biru,Automatic,12500,0,Electric,Complete Knock Down (CKD),4,3,199000000
Ford,SUV,2014,Orange,Automatic,40000,1499,Pertamax,Complete Built Up (CBU),5,5,128000000
Toyota,MPV,2012,Hitam,Automatic,90000,2362,Pertamax,Complete Built Up (CBU),7,5,318000000
Toyota,Wagon,2013,Hitam,Automatic,60000,2362,Pertamax,Complete Built Up (CBU),7,5,328000000
Mercedes-Benz,SUV,2017,Abu-abu,Automatic,40000,1595,Pertamax,Complete Built Up (CBU),5,5,518000000
Toyota,Wagon,2019,Hitam,Automatic,20000,2494,Pertamax,Complete Built Up (CBU),7,5,995000000
Toyota,Wagon,2016,Hitam,Automatic,50000,2494,Pertamax,Complete Built Up (CBU),7,5,758000000
Ford,SUV,2015,Merah,Automatic,90000,1499,Pertamax,Complete Built Up (CBU),5,5,138000000
Toyota,Wagon,2016,Putih,Automatic,65000,2494,Pertamax,Complete Built Up (CBU),7,5,758000000
Honda,Hatchback,2018,Abu-abu,Automatic,20000,1498,Pertamax,Complete Built Up (CBU),5,5,388000000
Mitsubishi,SUV,2019,Putih,Automatic,30000,2442,Solar,Complete Knock Down (CKD),7,5,458000000
Mercedes-Benz,Hatchback,2014,Merah,Automatic,65000,1595,Pertamax,Complete Built Up (CBU),5,5,298000000
Mercedes-Benz,Coupe,2012,Putih,Automatic,50000,1796,Pertamax,Complete Built Up (CBU),4,2,485000000
Honda,SUV,2018,Hitam,Automatic,60000,1498,Pertamax,Complete Knock Down (CKD),7,5,375000000
Volkswagen,SUV,2020,Hitam,Automatic,20000,1395,Pertamax,Semi Knock Down (SKD),7,5,468000000
Mercedes-Benz,SUV,2016,Hitam,Automatic,20000,1595,Pertamax,Complete Built Up (CBU),5,5,488000000
Chevrolet,SUV,2018,Hitam,Automatic,30000,1364,Pertamax,Complete Built Up (CBU),5,5,205000000
Toyota,SUV,2016,Hitam,Automatic,60000,2393,Solar,Complete Knock Down (CKD),7,5,378000000
Honda,SUV,2020,Hitam,Automatic,30000,1497,Pertamax,Complete Knock Down (CKD),5,5,298000000
Toyota,MPV,2014,Hitam,Automatic,50000,2362,Pertamax,Complete Built Up (CBU),7,5,348000000
Toyota,MPV,2018,Putih,Automatic,85000,1998,Pertamax,Complete Knock Down (CKD),8,5,258000000
Toyota,SUV,2018,Hitam,Automatic,70000,2393,Solar,Complete Knock Down (CKD),7,5,415000000
Honda,Sedan,2017,Putih,Automatic,40000,1498,Pertamax,Complete Built Up (CBU),5,4,378000000
Chevrolet,SUV,2018,Hitam,Automatic,42500,2499,Solar,Complete Built Up (CBU),7,5,299000000
Honda,Sedan,2022,Putih,Automatic,12500,1498,Pertamax,Complete Built Up (CBU),5,4,455000000
Toyota,MPV,2011,Hitam,Automatic,77500,2362,Pertamax,Complete Built Up (CBU),7,5,359000000
Toyota,Hatchback,2016,Hitam,Automatic,52500,1497,Pertamax,Complete Knock Down (CKD),5,5,176000000
Mercedes-Benz,Hatchback,2007,Hitam,Automatic,52500,1699,Pertamax,Complete Built Up (CBU),5,5,129000000
BMW,Wagon,2020,Abu-abu,Automatic,7500,1998,Pertamax,Complete Built Up (CBU),5,5,1025000000
Mercedes-Benz,Sedan,2012,Putih,Automatic,42500,1796,Pertamax,Complete Knock Down (CKD),5,4,279000000
